,Metabolite,Formula,Polarity (z),Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,KO - 1,KO - 2,KO - 3,KO - 4,WT - 1,WT - 2,WT - 3,WT - 4,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,Blank_6,ttest_pval,1/pvalue,KO_Mean,WT_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
50,Fructose 6-phosphate,C6H13O9P,-,ESI,12.6,13.5,10,0.2,259.0224,259.0225,0.2,S02468,13.01,12.94,13.22,0.28,48940.0,29709.0,42769.0,35578.0,53530.0,59025.0,49796.0,47088.0,0,0,0,0,0,1099,0,0.03739374446619964,26.742440862104733,39249.0,52359.75,-0.41580231194693407,0.7496025095612565,10471.0,45804.375,2.0,8
51,Fumaric acid,C4H4O4,-,ESI,12.2,14.2,10,0.2,115.0037,115.0026,-9.8,S02468,13.31,13.19,13.37,0.18,1356794.0,674326.0,1152590.0,873306.0,648695.7142857143,744942.0,2741056.0,8230176.0,221261,222608,197275,212544,207803,222623,206176,0.2890018037280444,3.460186016489423,1014254.0,3091217.4285714286,-1.6077561411232266,0.3281082691322448,648695.7142857143,2052735.7142857143,22.0,7
52,Glucose 6-phosphate,C6H13O9P,-,ESI,13.6,14.4,10,0.2,259.0224,259.022,-1.8,S02482,13.96,13.87,14.09,0.21,49659.0,41253.0,49189.0,42738.0,54154.0,50163.0,49702.0,46811.0,0,0,0,1666,0,2223,0,0.1395802246144365,7.164338664465596,45709.75,50207.5,-0.13540096172204838,0.9104167704028283,11666.714285714286,47958.625,0.0,8
53,Glutathione,C10H17N3O6S,+,ESI,10.0,13.0,10,0.2,308.0911,308.0894,-5.5,S02483,11.45,11.39,11.63,0.24,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
54,Glycerol 3-phosphate,C3H9O6P,-,ESI,11.5,13.0,10,0.2,171.0064,171.0058,-3.8,S02483,12.05,12.01,12.22,0.2,11261.714285714286,11261.714285714286,11261.714285714286,11261.714285714286,11261.714285714286,11261.714285714286,11261.714285714286,11261.714285714286,0,0,0,0,0,1569,1375,NA,NA,11261.714285714286,11261.714285714286,0.0,1.0,11261.714285714286,11261.714285714286,0.0,0
55,Glycine,C2H5NO2,+,ESI,10.7,12.7,20,0.2,76.0393,76.04,8.7,S02483,11.92,11.89,12.0,0.11,84154.0,61108.0,102179.0,75071.0,164379.0,209949.0,163345.0,147592.0,5225,5358,2346,8847,1893,9061,2157,0.0012798091601224399,781.3664967863878,80628.0,171316.25,-1.0873091618288226,0.4706383661795072,24951.571428571428,125972.125,209.0,8
56,Guanidoacetic acid,C3H7N3O2,+,ESI,10.7,12.7,10,0.2,118.0611,118.0613,1.9,S02475,11.98,11.85,12.09,0.24,40357.0,17420.0,20198.0,13882.428571428572,20685.0,21652.0,26399.0,53613.0,0,2013,0,1858,0,5188,0,0.4655711937061642,2.1478992118037477,22964.357142857145,30587.25,-0.4135340069521041,0.7507820135140343,13882.428571428572,26775.803571428572,0.0,7
57,Guanine,C5H5N5O,+,ESI,7.7,9.7,10,0.2,152.0567,152.0566,-0.7,S02482,8.69,8.62,8.83,0.21,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
58,Guanosine,C10H13N5O5,+,ESI,7.7,9.7,10,0.2,284.0989,284.099,0.1,S02482,8.98,8.96,9.13,0.17,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
59,Guanosine diphosphate,C10H15N5O11P2,-,ESI,13.8,15.8,10,0.2,442.0171,442.0161,-2.1,S02474,15.07,14.96,15.23,0.28,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
60,Guanosine monophosphate,C10H14N5O8P,+,ESI,12.6,14.6,10,0.2,364.0653,364.0634,-5.0,S02483,13.78,13.6,13.83,0.23,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
61,Guanosine triphosphate,C10H16N5O14P3,-,ESI,15.0,17.0,10,0.2,521.9834,521.9824,-1.8,S02466,16.63,16.44,16.88,0.44,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
