,Metabolite,Formula,Polarity (z),Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,OLFR2 A,OLFR2 B,OLFR2 C,GPI1 A,GPI1 B,GPI1 C,GPI1 D,SQ147_B_0,SQ147_B_1,SQ147_B_2,SQ147_B_3,SQ147_B_4,SQ147_B_7,SQ147_B_8,ttest_pval,1/pvalue,OLFR2_Mean,GPI1_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection,OLFR2,GPI1
12,D-Ribose 5-phosphate,C5H11O8P,-,ESI,12.4,13.8,10.0,0.2,229.0119,229.0113,-2.4,S01826,12.56,12.56,12.77,0.21,15161.0,17107.0,13996.857142857143,13996.857142857143,13996.857142857143,13996.857142857143,13996.857142857143,0,2390,1838,2248,0,2850,0,0.11932734163136173,8.380309041739173,15421.619047619048,13996.857142857143,0.13985131488298586,1.1017915586492206,13996.857142857143,14709.238095238095,0.0,2,-0.7469307147126385,0.13561758105592153
13,Fructose 6-phosphate,C6H13O9P,-,ESI,12.6,13.5,10.0,0.2,259.0224,259.0225,0.2,S01826,12.83,12.76,12.9,0.14,171026.0,102233.0,99917.71428571429,177941.0,99917.71428571429,99917.71428571429,148548.0,72006,47690,24806,22365,15108,19437,8396,0.8200483292490395,1.2194403236157454,124392.2380952381,131581.10714285716,-0.08105589085687724,0.9453654920245189,99917.71428571429,127986.67261904763,0.0,4,-0.9910933707382711,-0.27829671579847454
14,Glucose 6-phosphate,C6H13O9P,-,ESI,13.6,14.4,10.0,0.2,259.0224,259.0225,0.1,S01822,13.72,13.72,13.83,0.11,90992.0,89228.0,75330.14285714286,1063398.0,226154.0,325660.0,1035317.0,37591,41707,18524,11054,6970,29862,6729,0.08154178711629755,12.26365076563465,85183.38095238095,662632.25,-2.959564523307096,0.1285530261353578,75330.14285714286,373907.8154761905,36.0,6,-0.877493106073274,0.0043929963551756915
15,N-Acetylserine,C5H9NO4,-,ESI,7.5,8.5,10.0,0.2,146.0459,146.0449,-6.7,S01820,8.01,7.81,8.04,0.23,1401014.0,1732609.0,784144.0,377416.0,345217.85714285716,345217.85714285716,345217.85714285716,46425,668947,11079,15601,25318,10879,3926,0.009410533960891582,106.2638957742263,1305922.3333333333,353267.39285714284,1.8862366010961358,3.6966964960206017,345217.85714285716,829594.8630952381,326.0,4,-0.640797769523253,-0.10038680845110581
16,L-Glutamic acid,C5H9NO4,+,ESI,10.0,13.0,10.0,0.2,148.0604,148.0605,0.3,S01829,11.55,11.46,11.55,0.09,156021840.0,183256096.0,67113024.0,123904664.0,55776340.0,63634652.0,120623280.0,4131323,5043642,317972,1981644,357240,3437880,105990,0.2756572476308364,3.6276934801990492,135463653.33333334,90984734.0,0.5742094034496986,1.4888613438528417,6599581.857142858,113224193.66666667,612.0,7,-0.7318867266251566,-0.007065459781143618
17,Creatine,C4H9N3O2,+,ESI,10.0,11.5,10.0,0.2,132.0768,132.0769,1.1,S01826,10.59,10.56,10.63,0.07,41478120.0,42399164.0,20213320.0,20660710.0,13064385.0,12535251.0,26112516.0,4617565,10486582,679286,1222356,823544,2603280,87339,0.06875837313817608,14.543683254262152,34696868.0,18093215.5,0.9393566157731345,1.9176728426188259,8804265.142857142,26395041.75,736.0,7,-0.8470970999908596,0.3139229800495478
18,L-Lysine,C6H14N2O2,+,ESI,17.0,18.5,10.0,0.2,147.1128,147.1129,0.4,S01829,18.01,17.96,18.15,0.19,10786767.57142857,10786767.57142857,10786767.57142857,10786767.57142857,10786767.57142857,10786767.57142857,10786767.57142857,6191884,6972712,4785742,2618394,2213340,1264432,1099287,NA,NA,10786767.57142857,10786767.57142857,0.0,1.0,10786767.57142857,10786767.57142857,NA,0,-0.6783466279933156,0.5035097389118036
19,L-Arginine,C6H14N4O2,+,ESI,18.0,20.0,10.0,0.2,175.119,175.119,0.5,SQ147_B_1,18.97,18.86,19.06,0.19,31191482.285714287,31191482.285714287,31191482.285714287,31191482.285714287,31191482.285714287,31191482.285714287,31191482.285714287,16146493,24190688,13801111,7384028,4983330,3905424,2345718,NA,NA,31191482.285714287,31191482.285714287,0.0,1.0,31191482.285714287,31191482.285714287,NA,0,-0.5322052095633324,0.47337214968803015
20,L-Kynurenine,C10H12N2O3,+,ESI,6.0,8.0,10.0,0.2,209.0921,209.0925,2.2,S01827,7.18,7.02,7.41,0.38,27659.714285714286,27659.714285714286,27659.714285714286,27659.714285714286,27659.714285714286,27659.714285714286,27659.714285714286,8249,7671,5502,5375,4812,5092,4505,NA,NA,27659.714285714286,27659.714285714286,0.0,1.0,27659.714285714286,27659.714285714286,NA,0,0.9806935777399195,0.49107698941044775
21,Inosine,C10H12N4O5,+,ESI,6.4,8.4,10.0,0.2,269.088,269.0878,-1.0,S01827,7.43,7.33,7.46,0.13,726655.0,2817933.0,224534.0,1470837.0,360393.0,102123.0,2063835.0,36647,37683,0,24351,0,17519,0,0.7772426378963038,1.286599513771677,1256374.0,999297.0,0.3302805638727107,1.2572578522701459,59800.0,1127835.5,2.0,7,-0.18252882244560523,0.2121669877419771
22,Xanthosine,C10H12N4O6,-,ESI,6.7,8.7,10.0,0.2,283.0684,283.0703,6.8,S01823,7.07,7.07,7.07,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,NA,0,,-0.2581988897471611
23,Cyclic AMP,C10H12N5O6P,-,ESI,5.8,7.8,10.0,0.2,328.0452,328.0441,-3.4,S01829,6.7,6.59,6.78,0.2,11905.0,10000.0,10000.0,21914.0,10919.0,10000.0,11160.0,0,0,0,0,0,0,0,0.43488403729654335,2.299463567843281,10635.0,13498.25,-0.3439523458312455,0.7878799103587502,10000.0,12066.625,0.0,4,-0.9758576686785769,-0.7485374301728713
24,Orotidylic acid,C10H13N2O11P,+,ESI,0.0,30.0,10.0,0.2,369.033,369.0318,-3.1,S01824,18.96,18.84,19.2,0.36,14565.142857142857,14565.142857142857,14565.142857142857,14565.142857142857,14565.142857142857,14565.142857142857,14565.142857142857,0,0,3495,0,3266,0,3891,NA,NA,14565.142857142857,14565.142857142857,0.0,1.0,14565.142857142857,14565.142857142857,NA,0,-0.40479938260185,0.5036933136298183
25,Inosinic acid,C10H13N4O8P,+,ESI,11.4,13.4,10.0,0.2,349.0544,349.0538,-1.6,S01820,12.39,12.38,12.48,0.1,131780.0,209990.0,62277.0,11903.0,10932.142857142857,10932.142857142857,12872.0,0,0,0,2175,0,0,0,0.018318103287537354,54.59080475216808,134682.33333333334,11659.821428571428,3.529943021988895,11.550977359164818,10932.142857142857,73171.07738095238,46.0,5,-0.4702550636650871,-0.017801401912022834
26,Xanthylic acid,C10H13N4O9P,-,ESI,11.0,13.0,10.0,0.2,363.0347,363.0382,9.6,S01819,11.75,11.75,11.75,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,NA,0,-0.8660254037844387,
27,Adenosine,C10H13N5O4,+,ESI,4.5,7.0,10.0,0.2,268.104,268.1039,-0.6,SQ147_B_0,5.62,5.58,5.64,0.06,60778255.857142866,60778255.857142866,60778255.857142866,60778255.857142866,60778255.857142866,60778255.857142866,60778255.857142866,129815456,8392468,1749364,661408,421792,456165,295944,NA,NA,60778255.857142866,60778255.857142866,0.0,1.0,60778255.857142866,60778255.857142866,NA,0,0.024769955336356383,0.009067332343314543
28,Guanosine,C10H13N5O5,+,ESI,7.7,9.7,10.0,0.2,284.0989,284.0989,-0.1,SQ147_B_0,8.83,8.73,8.84,0.1,636434.2857142857,636434.2857142857,636434.2857142857,636434.2857142857,636434.2857142857,636434.2857142857,636434.2857142857,1292603,82141,24941,20884,15471,14460,11180,NA,NA,636434.2857142857,636434.2857142857,0.0,1.0,636434.2857142857,636434.2857142857,NA,0,-0.15963588792427866,0.4976382012317383
29,Thymidine,C10H14N2O5,+,ESI,8.2,10.2,10.0,0.2,243.0975,243.0981,2.1,SQ147_B_0,9.78,9.78,9.78,0.0,12430.428571428572,12430.428571428572,12430.428571428572,12430.428571428572,12430.428571428572,12430.428571428572,12430.428571428572,5671,0,0,0,0,0,0,NA,NA,12430.428571428572,12430.428571428572,0.0,1.0,12430.428571428572,12430.428571428572,NA,0,,
30,Adenosine monophosphate,C10H14N5O7P,+,ESI,9.8,11.8,10.0,0.2,348.0704,348.0703,-0.3,SQ147_B_0,10.68,10.56,10.69,0.13,3103138.0,3103138.0,3103138.0,3103138.0,3103138.0,3103138.0,3103138.0,4276817,2232614,398481,102654,78893,73915,53948,NA,NA,3103138.0,3103138.0,0.0,1.0,3103138.0,3103138.0,NA,0,-0.9825491546304896,0.24652718592580664
31,Guanosine monophosphate,C10H14N5O8P,+,ESI,12.6,14.6,10.0,0.2,364.0653,364.065,-0.7,SQ147_B_0,13.63,13.52,13.69,0.17,72089.71428571429,72089.71428571429,72089.71428571429,72089.71428571429,72089.71428571429,72089.71428571429,72089.71428571429,42823,34650,15246,17411,13668,11335,9743,NA,NA,72089.71428571429,72089.71428571429,0.0,1.0,72089.71428571429,72089.71428571429,NA,0,-0.9493338763813817,0.17055723883342486
32,ADP,C10H15N5O10P2,-,ESI,11.1,13.1,10.0,0.2,426.0221,426.0219,-0.7,S01819,12.23,12.18,12.46,0.28,119183.0,74521.0,46318.42857142857,46318.42857142857,46318.42857142857,46318.42857142857,46318.42857142857,4013,26040,10928,9874,8403,18024,7461,0.11612501226488627,8.611409208887366,80007.4761904762,46318.42857142857,0.7885485086225471,1.7273357205349718,46318.42857142857,63162.95238095238,1.0,2,-0.9999125657253456,-0.27349635668198474
33,Guanosine diphosphate,C10H15N5O11P2,-,ESI,13.8,15.8,10.0,0.2,442.0171,442.0162,-2.0,S01819,15.33,15.29,15.57,0.28,11622.0,10816.857142857143,10816.857142857143,10816.857142857143,10816.857142857143,10816.857142857143,10816.857142857143,0,0,0,1906,0,0,0,0.28559094064519813,3.501511629678558,11085.238095238097,10816.857142857143,0.035358375156219396,1.0248113614552243,10816.857142857143,10951.04761904762,0.0,1,-0.9990547453193036,-0.007909117873831986
34,dTDP,C10H16N2O11P2,-,ESI,11.0,13.0,10.0,0.2,401.0157,401.0152,-1.1,S01826,11.66,11.66,11.8,0.14,12226.857142857143,12226.857142857143,12226.857142857143,12226.857142857143,12226.857142857143,12226.857142857143,12226.857142857143,0,2716,2480,0,0,0,0,NA,NA,12226.857142857143,12226.857142857143,0.0,1.0,12226.857142857143,12226.857142857143,NA,0,-0.5557195899902924,0.806403069705353
35,Adenosine triphosphate,C10H16N5O13P3,-,ESI,12.5,14.5,10.0,0.2,505.9885,505.9886,0.4,S01819,14.46,14.24,14.46,0.22,50389.0,14796.142857142857,14796.142857142857,14796.142857142857,14796.142857142857,14796.142857142857,14796.142857142857,0,2758,3040,0,2529,0,2864,0.285590940645201,3.5015116296785225,26660.42857142857,14796.142857142857,0.8494788373089596,1.8018499029669892,14796.142857142857,20728.285714285714,0.0,1,-0.9570742014739579,0.08918267744050547
36,Guanosine triphosphate,C10H16N5O14P3,-,ESI,15.0,17.0,10.0,0.2,521.9834,0.0,0.0,NA,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,NA,0,,
37,Glutathione,C10H17N3O6S,+,ESI,10.0,13.0,10.0,0.2,308.0911,308.0904,-2.3,S01829,11.29,11.26,11.32,0.06,213886.0,48658.0,10000.0,52725.0,10000.0,10000.0,27482.0,0,0,0,0,0,0,0,0.2747195959346202,3.6400752432599943,90848.0,25051.75,1.8585433671960965,3.6264133244184538,10000.0,57949.875,1.0,4,-0.9493434597249975,-0.38576087009335985
38,Argininosuccinic acid,C10H18N4O6,-,ESI,12.5,14.5,10.0,0.2,289.1154,289.1147,-2.2,S01820,13.48,13.38,13.54,0.16,18845.0,21663.0,10849.0,10849.0,10849.0,10849.0,10849.0,0,0,0,0,0,1981,0,0.06857911900744135,14.58169796394574,17119.0,10849.0,0.6580363604506958,1.5779334500875657,10849.0,13984.0,0.0,2,-0.7504454045068514,-0.18063013104681064
39,Propionylcarnitine,C10H19NO4,+,ESI,5.2,7.2,10.0,0.2,218.1387,218.1389,0.8,S01829,6.02,5.83,6.16,0.34,201638.2857142857,207329.0,201638.2857142857,251323.0,201638.2857142857,201638.2857142857,267855.0,101434,178935,40429,37662,35988,29339,23369,0.23885936426060794,4.18656393520728,203535.19047619044,230613.64285714284,-0.1801996111588651,0.8825808740303949,201638.2857142857,217074.41666666663,1.0,3,-0.7415307206417527,0.10256676077873093
40,L-Tryptophan,C11H12N2O2,+,ESI,6.8,8.8,10.0,0.2,205.0972,205.0973,0.5,S01829,7.91,7.85,8.15,0.31,274053.0,317435.0,219389.0,123799.0,123799.0,158627.0,253275.0,143854,82614,15911,10682,6585,5885,0,0.058965553875778766,16.959053791077324,270292.3333333333,164875.0,0.7131479318673268,1.639377306039929,123799.0,217583.66666666666,6.0,5,-0.5563079150092356,0.7900870653361538
41,N-Acetyl-L-phenylalanine,C11H13NO3,+,ESI,2.8,4.0,10.0,0.2,208.0968,208.0975,3.2,SQ147_B_1,3.33,3.22,3.56,0.34,82636.0,82636.0,82636.0,82636.0,82636.0,82636.0,82636.0,37653,74446,16035,11409,10079,11439,8423,NA,NA,82636.0,82636.0,0.0,1.0,82636.0,82636.0,NA,0,0.8991186864084282,0.10374920538542876
42,5'-Methylthioadenosine,C11H15N5O3S,+,ESI,3.0,5.0,10.0,0.2,298.0968,298.0966,-0.6,SQ147_B_0,4.11,3.99,4.23,0.24,3789928.428571429,3789928.428571429,3789928.428571429,3789928.428571429,3789928.428571429,3789928.428571429,3789928.428571429,8480826,238679,26289,20111,13981,24269,15678,NA,NA,3789928.428571429,3789928.428571429,0.0,1.0,3789928.428571429,3789928.428571429,NA,0,0.8216237279925943,0.33934602222215443
43,Saccharopine,C11H20N2O6,-,ESI,11.0,14.0,10.0,0.2,275.1249,275.1252,1.1,SQ147_B_1,11.5,11.5,11.6,0.1,11956.42857142857,11956.42857142857,11956.42857142857,11956.42857142857,11956.42857142857,11956.42857142857,11956.42857142857,0,4565,0,0,0,0,0,NA,NA,11956.42857142857,11956.42857142857,0.0,1.0,11956.42857142857,11956.42857142857,NA,0,0.8660254037844386,
44,Butyrylcarnitine,C11H21NO4,+,ESI,4.2,6.2,10.0,0.2,232.1543,232.1544,0.4,S01820,5.22,5.02,5.43,0.41,493478.0,640981.0,210408.0,231898.0,134625.57142857142,134625.57142857142,270106.0,73040,114449,24449,23839,22319,17920,14777,0.07382846829976875,13.544910561325194,448289.0,192813.7857142857,1.217220894919835,2.32498417236764,134625.57142857142,320551.39285714284,10.0,5,-0.6468262460962724,0.22675147677786725
45,Valerylcarnitine,C12H23NO4,+,ESI,3.6,5.7,10.0,0.2,246.17,246.1697,-1.3,S01829,4.58,4.35,4.78,0.43,64050.57142857142,64050.57142857142,64050.57142857142,64050.57142857142,64050.57142857142,64050.57142857142,64050.57142857142,26563,26566,19083,13059,12774,16001,12072,NA,NA,64050.57142857142,64050.57142857142,0.0,1.0,64050.57142857142,64050.57142857142,NA,0,-0.2503906154169877,0.41168072500392117
46,Adenylsuccinic acid,C14H18N5O11P,-,ESI,14.5,16.5,10.0,0.2,462.0668,462.0656,-2.5,S01826,15.63,15.63,15.63,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,NA,0,,
47,S-Adenosylhomocysteine,C14H20N6O5S,-,ESI,8.6,10.6,10.0,0.2,383.1143,383.1134,-2.3,S01829,9.54,9.43,9.6,0.17,15195.0,13652.0,11542.42857142857,11542.42857142857,11542.42857142857,11542.42857142857,11542.42857142857,3599,0,0,0,0,0,0,0.08229272693020884,12.15174216851611,13463.142857142857,11542.42857142857,0.22206842973769783,1.166404693243561,11542.42857142857,12502.785714285714,0.0,2,-0.923945634148547,0.168022178838901
48,S-Adenosylmethionine,C15H22N6O5S,+,ESI,10.7,12.7,10.0,0.2,399.1445,399.1444,-0.2,S01829,11.69,11.64,11.75,0.11,3386838.0,3024366.0,1082408.0,1920760.0,665366.0,481437.0,1621676.0,127033,174056,92918,163864,81179,173232,66262,0.1290885572763776,7.746620003343965,2497870.6666666665,1172309.75,1.0913449679677423,2.1307258313484696,386518.85714285716,1835090.2083333333,30.0,7,-0.9298416188052032,-0.197632717658735
49,Adenosine diphosphate ribose,C15H23N5O14P2,-,ESI,10.9,12.9,10.0,0.2,558.0644,558.0624,-3.5,S01827,11.82,11.78,11.96,0.19,12929.285714285714,12929.285714285714,12929.285714285714,12929.285714285714,12929.285714285714,12929.285714285714,12929.285714285714,4769,0,0,0,0,2066,0,0.15176111049909793,6.58930339077839,12929.285714285716,12929.285714285714,3.203426503814917e-16,1.0000000000000002,12929.285714285714,12929.285714285714,0.0,0,-0.9726708483222992,0.5918372974260577
50,Uridine diphosphate glucose,C15H24N2O17P2,-,ESI,12.4,14.4,10.0,0.2,565.0477,565.0481,0.6,S01829,13.45,13.42,13.51,0.09,372187.0,379315.0,108628.0,398432.0,52299.0,62794.0,292785.0,0,0,0,2944,0,7928,0,0.5294306046716135,1.888821672143913,286710.0,201577.5,0.5082576096404025,1.4223313613870596,14659.428571428572,244143.75,1.0,7,-0.8542426775818408,-0.2301888472147912
51,Palmitic acid,C16H32O2,-,ESI,1.6,3.6,10.0,0.2,255.233,255.2328,-0.7,S01829,2.72,2.62,2.93,0.3,24270914.0,26296818.0,7558688.285714285,7558688.285714285,8188864.0,11625362.0,7558688.285714285,9395404,3543616,1661154,765656,709724,808137,729915,0.09126365458030586,10.957264472902162,19375473.42857143,8732900.642857142,1.1496987308808009,2.2186755834007013,7558688.285714285,14054187.035714285,342.0,4,-0.8212290715298292,-0.2663515731204732
52,Uridine diphosphate-N-acetylglucosamine,C17H27N3O17P2,+,ESI,11.2,13.2,10.0,0.2,608.0888,608.0872,-2.7,S01820,12.19,12.14,12.26,0.12,86177.0,102001.0,31772.0,38155.0,19176.0,17981.0,29856.0,3937,11437,0,0,0,2108,0,0.05324484859987706,18.781159610665302,73316.66666666667,26292.0,1.4795173052523138,2.7885541863177647,17492.285714285714,49804.333333333336,3.0,7,-0.7384274210580809,-0.35301836655193913
53,Folic acid,C19H19N7O6,+,ESI,2.0,4.0,10.0,0.2,442.147,442.1509,9.0,S01823,4.0,4.0,4.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,NA,0,,-0.2581988897471611
54,Dihydrofolic acid,C19H21N7O6,+,ESI,0.0,30.0,10.0,0.2,444.1626,444.1638,2.7,S01822,7.36,7.18,7.58,0.4,14864.285714285714,14864.285714285714,14864.285714285714,14864.285714285714,14864.285714285714,14864.285714285714,14864.285714285714,0,5003,0,3024,0,0,3323,0.15176111049909793,6.58930339077839,14864.285714285716,14864.285714285714,3.203426503814917e-16,1.0000000000000002,14864.285714285714,14864.285714285714,0.0,0,-0.8660254037844386,-0.8246296790463132
55,Oxidized glutathione,C20H32N6O12S2,+,ESI,13.5,15.5,10.0,0.2,613.1592,613.1592,-0.1,S01829,14.42,14.38,14.48,0.1,112227.0,150845.0,46121.0,78449.0,27547.428571428572,30526.0,91346.0,7022,2233,2654,11273,3246,11228,3288,0.2101555262713038,4.758380699011613,103064.33333333333,56967.107142857145,0.8553441054807919,1.8091902240160727,27547.428571428572,80015.72023809524,1.0,6,-0.6241143969924546,0.1682602950111608
56,NAD,C21H27N7O14P2,+,ESI,9.9,11.9,10.0,0.2,664.1164,664.1158,-0.9,S01829,10.74,10.57,10.74,0.17,495568.0,636383.0,172642.0,371880.0,113179.0,145987.0,344572.0,33177,24866,0,11679,2583,20837,0,0.22865723548640984,4.373358218351392,434864.3333333333,243904.5,0.8342490109342601,1.782928700919144,49918.0,339384.4166666666,3.0,7,-0.6791139134637617,-0.04762099204646057
