Metabolite	Formula	Polarity (z)	Ion Mode	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S05601	S05602	S05603	S05604	S05605	S05606	S05607	S05608	S05609	S05610	S05611	S05612	S05613	S05614	S05615	SQ363_B_0	SQ363_B_1	SQ363_B_2	SQ363_B_3	SQ363_B_4	SQ363_B_5
Guanine	C5H5N5O	+	ESI	7.7	9.7	10	0.2	152.0567	152.0565	-1.5	S05602	8.76	8.69	8.86	0.17	24	526877	869377	536185	133925	187841	135830	120866	80738	49313	113458	128135	117806	122676	61560	149934	11756	7769	3986	13646	11870	9024
Guanosine	C10H13N5O5	+	ESI	7.7	9.7	10	0.2	284.0989	284.0968	-7.4	S05602	9.07	8.86	9.21	0.35	24	50730	52120	39724	35086	23681	35107	29607	24634	22390	47551	23820	16250	30973	9497	29900	21236	18315	4706	5965	6698	5030
Guanosine diphosphate	C10H15N5O11P2	-	ESI	13.8	15.8	10	0.2	442.0171	442.0146	-5.6	SQ363_ISTD_0	15.66	15.55	15.84	0.29	23	2068	1486	2375	1371	1968	2476	2485	1191	2285	1827	1592	2214	1988	1353	1163	1496	0	2260	1418	1458	1272
Guanosine monophosphate	C10H14N5O8P	+	ESI	12.6	14.6	10	0.2	364.0653	364.064	-3.6	S05612	13.76	13.53	13.86	0.33	24	39971	28062	38809	26009	38282	19961	20166	15945	19703	31326	30152	45126	19318	10851	14631	26707	8669	9538	5226	6932	2330
Guanosine triphosphate	C10H16N5O14P3	-	ESI	15	17	10	0.2	521.9834	521.9798	-6.9	S05603	16.67	16.67	16.67	0	1	0	0	1160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Homocysteine	C4H9NO2S	-	ESI	7.3	9.3	10	0.2	134.0281	134.0268	-9.8	S05610	7.7	7.46	7.93	0.48	5	0	0	0	0	0	0	0	3966	0	37835	0	0	0	16078	6307	0	0	1417	0	0	0
Hypotaurine	C2H7NO2S	+	ESI	10	12	10	0.2	110.027	110.0272	1.2	S05602	11.32	11.27	11.4	0.14	18	256210	424503	381526	322242	289853	293760	354922	287149	4399	310923	204619	219770	257633	153187	237252	5847	0	8135	0	2303	0
Hypoxanthine	C5H4N4O	+	ESI	5.8	7.8	10	0.2	137.0458	137.0455	-2.3	S05602	7.05	6.86	7.29	0.44	23	8713491	8851993	7372422	2953280	3352240	2325241	1837454	1336734	883814	3492927	3611816	3303423	1414386	669045	1534124	4848	0	4370	3660	2730	2385
Inosine	C10H12N4O5	+	ESI	6.4	8.4	10	0.2	269.088	269.0879	-0.7	S05613	7.83	7.61	8.06	0.45	10	0	25657	0	0	0	0	37404	19952	10601	0	0	0	91721	0	49762	12567	4037	3871	0	0	0
Inosinic acid	C10H13N4O8P	+	ESI	11.4	13.4	10	0.2	349.0544	349.0515	-8.4	S05602	12.52	12.29	12.71	0.42	21	9378	14485	11882	6603	7300	8699	8356	5714	7458	9208	3101	4787	8687	2082	5588	5731	2122	2800	0	0	0
L-Acetylcarnitine	C9H17NO4	+	ESI	6.3	8.3	10	0.2	204.123	204.1224	-3.1	S05602	7.74	7.51	7.93	0.42	24	12009180	19449884	16252149	6008086	5836002	7876962	8946704	7787118	3097070	5869948	6332098	6583890	8301630	3349548	9176321	33982	17647	41340	16743	18223	15625
L-Alanine	C3H7NO2	+	ESI	10.6	11.2	10	0.2	90.055	90.0553	3.7	S05601	11.11	10.88	11.13	0.24	24	189015360	171225904	180583808	32212460	31337942	27062270	7040326	5230539	10297571	92586104	79014088	112109664	87945728	60528732	79982040	3371385	54382	9463510	89406	1226086	79745
L-Arginine	C6H14N4O2	+	ESI	18.5	21	10	0.2	175.119	175.1184	-3.1	S05610	20.56	20.52	20.7	0.18	24	144877120	110362664	156537696	143402864	160224576	133179248	46648288	33749856	88285024	171009680	114581584	165497648	103551368	65613416	81023160	68513712	10304294	87324488	41191944	38315276	16395625
L-Asparagine	C4H8N2O3	+	ESI	10.3	12.3	10	0.2	133.0608	133.0604	-2.5	S05612	11.63	11.39	11.65	0.27	24	26322222	24203676	26754316	34739876	33026500	29258754	961527	381961	3286546	35875136	30714224	45228228	12868856	7875574	10533033	2498864	24624	2556068	49233	302007	18204
L-Aspartic acid	C4H7NO4	-	ESI	10.8	12.8	10	0.2	132.0302	132.0289	-9.9	S05612	11.95	11.71	12.17	0.46	18	0	2494246	1355304	12988931	16804898	1574510	0	2767823	1344074	0	0	23583216	0	497733	0	231568	220330	267567	492699	506879	119487
L-Carnitine	C7H15NO3	+	ESI	8.3	10.3	10	0.2	162.1125	162.112	-3.1	S05612	9.81	9.58	9.86	0.27	24	38941608	36896844	32880740	39277776	41336296	33894252	3970927	3106990	2188758	41072624	42397272	47281796	14452906	7643755	13950434	173583	30438	188137	29267	37580	31684
L-Cystathionine	C7H14N2O4S	+	ESI	12.2	14.2	10	0.2	223.0747	223.0727	-8.9	S05612	13.42	13.32	13.59	0.27	21	19150	21338	30313	19373	19782	19853	10719	2658	6068	20471	10308	33603	21248	5135	6825	2487	0	2760	0	1737	2462
L-Cysteine	C3H7NO2S	+	ESI	13	17	10	0.2	122.027	122.0268	-1.6	S05612	13.67	13.54	13.92	0.38	18	1963	1709	5593	4073	2944	3158	1369	1213	2074	5954	2084	7235	2487	1208	0	0	0	2251	0	1072	0
L-Cystine	C6H12N2O4S2	-	ESI	11.7	13.7	10	0.2	239.0166	239.0158	-3.3	S05612	12.81	12.59	12.84	0.25	24	1145240	390958	957555	1459311	1580490	519547	27013	11742	57705	2332857	1554968	3959004	173533	269307	272453	44369	7027	53124	16555	21381	11006
L-Glutamic acid	C5H9NO4	+	ESI	10	13	10	0.2	148.0604	148.06	-3.3	S05602	11.64	11.41	11.68	0.27	24	116042704	132994832	131723448	119120752	119444024	105531952	96972680	84494224	47190324	117519776	104983144	105840152	113113144	67287304	110676344	14952752	494228	15690502	894726	4536160	312685
L-Glutamine	C5H10N2O3	+	ESI	10.1	12.1	10	0.2	147.0764	147.076	-2.9	S05612	11.46	11.21	11.46	0.25	24	642417088	579365440	612626944	569056256	525459168	486125120	26002866	13352866	74730408	616850816	572733504	739377152	353713632	248330624	320984128	65266276	313194	69040240	1015442	12888843	286809
L-Histidine	C6H9N3O2	+	ESI	9.9	11.9	10	0.2	156.0768	156.0763	-3	S05612	10.93	10.69	10.96	0.27	24	64190520	65703656	78029528	84278952	74282624	58714940	2343830	1158578	9306644	92957432	65246708	117229576	28564508	18516578	20508886	7059688	197294	7076208	303749	1256388	126812
L-Isoleucine	C6H13NO2	+	ESI	6	7.5	10	0.2	132.1019	132.1015	-2.7	S05612	7.42	7.27	7.45	0.18	24	149142240	136842384	149360816	112960064	108114664	88226832	2317650	1678900	1438090	137158576	118930952	178210640	51865540	34283876	47297972	1136712	77678	1076502	86398	140859	74193
L-Kynurenine	C10H12N2O3	+	ESI	6	8	10	0.2	209.0921	209.0917	-1.7	S05603	7.4	7.21	7.59	0.38	20	111091	96677	125370	73502	55184	59996	0	3245	7447	103628	41268	109972	48534	28179	40545	3051	0	7055	0	0	2603
L-Lactic acid	C3H6O3	-	ESI	6.2	8.2	20	0.2	89.0244	89.023	-16.2	S05612	7.05	6.83	7.1	0.28	24	75397336	60481756	63926216	52918168	52756960	36665888	3008654	2348712	4181001	66933420	63017120	82542808	14511499	8945904	14003327	575485	415884	588809	447408	433432	417139
L-Leucine	C6H13NO2	+	ESI	7.5	9	10	0.2	132.1019	132.1015	-2.8	S05612	8.02	7.78	8.02	0.24	24	165589344	153020288	155177792	133086512	129181992	111934712	2781004	1945236	1629308	147403840	139585440	173931360	60851840	43001300	54719456	1231556	84722	1261824	90647	142981	78724
L-Lysine	C6H14N2O2	+	ESI	18	20	10	0.2	147.1128	147.1124	-2.5	S05612	19.46	19.46	19.62	0.16	24	16419762	12134742	20373364	17421216	19047372	15081270	3313359	2522220	8217415	20817536	10658656	22190532	10574866	5208069	7559264	5391010	493153	8757940	2814314	2316871	813396
L-Malic acid	C4H6O5	-	ESI	12.2	14.2	10	0.2	133.0142	133.0129	-9.9	S05604	13.12	12.88	13.34	0.47	22	236035	626701	360372	14129518	456042	10821801	338956	420597	208049	2104956	258277	307348	1118898	3755963	443184	0	362864	173358	1698088	286575	290929
L-Methionine	C5H11NO2S	+	ESI	6.8	8.8	10	0.2	150.0583	150.0579	-3.1	S05612	8.16	7.98	8.2	0.22	21	67174640	63692984	65967256	69598928	66557752	55771860	563589	264538	218517	76966784	64648064	94081976	24809668	15579193	20882800	226402	0	293796	0	22621	0
L-Phenylalanine	C9H11NO2	+	ESI	5.6	7.6	10	0.2	166.0863	166.0857	-3.1	S05612	6.92	6.68	7.02	0.34	24	67071008	56898732	60201848	60129632	56203088	42488972	713222	442740	264704	72210232	62352732	96806064	18875694	12431478	16406886	102774	25682	99419	22095	27066	20372
L-Proline	C5H9NO2	+	ESI	7.9	9.9	10	0.2	116.0706	116.0705	-0.6	S05612	9.32	9.08	9.38	0.3	24	486004512	463997280	482476096	484257440	488054880	414563840	108895688	97426408	9298002	518270880	511302208	571238464	240543376	153615776	250368496	7024080	158219	7217023	214673	713512	159722
L-Serine	C3H7NO3	+	ESI	10.8	12.8	10	0.2	106.0499	106.05	1.2	S05612	12.05	11.81	12.07	0.26	24	19991030	17970564	20722702	22854460	20451528	18211242	1319736	743819	2495356	23794744	18172952	32069734	8945063	5773466	7171086	1458953	29996	1973015	83795	333561	30404
L-Threonine	C4H9NO3	-	ESI	9.5	11.5	10	0.2	118.051	118.0498	-9.6	S05602	11.03	10.78	11.16	0.38	24	146529	364923	192144	133565	74076	82360	55872	52234	60551	109323	144964	220972	223750	98033	119339	66741	5074	46014	7964	14637	5032
L-Tryptophan	C11H12N2O2	+	ESI	6.8	8.8	10	0.2	205.0972	205.0965	-3.1	S05612	8.24	8	8.26	0.25	21	9316692	7711793	8373087	8362306	8181516	6519560	49158	38856	29200	10164894	8581798	12383460	2533041	1573817	2091760	21230	4252	19031	0	0	0
L-Tyrosine	C9H11NO3	+	ESI	8.2	10.2	10	0.2	182.0812	182.0806	-3.4	S05612	9.53	9.3	9.58	0.28	24	25562352	22917832	24112704	19261292	17887768	15721664	189336	137048	174362	22063948	20458226	25786120	9274260	5732558	7722545	156182	5091	119155	4154	19080	5102
L-Valine	C5H11NO2	+	ESI	8.3	9.2	10	0.2	118.0863	118.0862	-0.8	S05612	9.03	8.82	9.07	0.25	24	104288008	87504816	97697136	93526840	95370784	70699888	3032451	2659085	2841279	112120600	99122640	142876416	33970928	22945724	30844972	2052499	1233407	2030245	1264090	1334593	1240990
N6-Acetyl-L-lysine	C8H16N2O3	+	ESI	1.9	3.9	10	0.2	189.1234	189.1226	-4	S05614	3.24	3.05	3.26	0.22	24	4537714	5812913	6260738	5288130	2399469	4345712	5022070	6407020	2513690	1802756	3567328	4237038	2806834	9744890	3354765	63868	67942	70641	68954	62965	80215
N-Acetylglutamic acid	C7H11NO5	+	ESI	10.3	12.3	10	0.2	190.071	190.0704	-3.3	S05607	11.36	11.12	11.61	0.49	24	203274	306884	201738	241960	217825	179117	421245	299068	109129	181240	267407	164002	188155	124085	242320	17720	2775	7672	6501	3015	6640
N-Acetylglutamine	C7H12N2O4	-	ESI	6.8	8.8	10	0.2	187.0724	187.0717	-3.9	S05602	7.94	7.71	8.16	0.45	21	11212	23220	12610	10240	9078	4604	8118	4626	5103	8275	11625	7324	8813	7532	10441	0	0	1511	0	1665	1824
N-Acetyl-L-alanine	C5H9NO3	+	ESI	6	7	10	0.2	132.0655	132.0654	-0.9	S05602	6.45	6.3	6.7	0.4	24	895865	1183849	924549	618316	706477	628382	261183	260621	117721	671945	748524	591148	471209	169061	426541	20982	23472	22221	22991	19819	18290
N-Acetyl-L-methionine	C7H13NO3S	+	ESI	3	5	10	0.2	192.0689	192.0688	-0.4	S05602	4.16	3.97	4.31	0.35	11	77631	102043	96343	69005	45325	55576	0	0	0	96551	75775	81355	42578	0	34962	0	0	0	0	0	0
N-Acetyl-L-phenylalanine	C11H13NO3	+	ESI	2.8	4	10	0.2	208.0968	208.0971	1.2	SQ363_B_3	3.49	3.27	3.7	0.44	22	16672	17221	26692	25409	20014	23096	0	0	29215	23213	19757	16804	13556	17354	17774	25530	26320	22275	31586	29472	27298
N-Acetylornithine	C7H14N2O3	+	ESI	8.6	10.6	10	0.2	175.1077	175.1074	-1.6	S05612	10.02	9.78	10.19	0.4	24	235853	198099	221981	251693	215514	157420	14084	15209	17991	279469	218185	395666	55879	28657	51222	6413	5326	6681	8776	7277	6369
N-Acetylserine	C5H9NO4	-	ESI	7.5	8.5	10	0.2	146.0459	146.0446	-8.8	S05602	8.08	7.83	8.16	0.33	24	3316119	4256538	3638261	2786164	2656400	2982427	1736111	1537770	517662	2590882	2690210	2108854	2241764	1055964	2324527	9485	6329	13147	6622	6300	5950
NAD	C21H27N7O14P2	+	ESI	9.9	11.9	10	0.2	664.1164	664.1163	-0.2	S05602	10.98	10.83	11.07	0.24	22	454941	490921	459713	467284	387380	397493	151110	134159	98717	397914	413408	383316	223962	107222	220230	38023	0	37208	3199	6039	2704
NADH	C21H29N7O14P2	-	ESI	9.5	11.5	10	0.2	664.1175	664.1157	-2.7	S05601	10.61	10.54	10.78	0.24	15	39976	19660	33822	20294	26648	17830	10079	6266	2173	25107	22101	30311	15719	3649	15673	0	0	0	0	0	0
NADP	C21H28N7O17P3	+	ESI	12.7	14.7	10	0.2	744.0827	744.0836	1.1	S05603	14.02	13.9	14.27	0.37	16	4031	10732	16905	3004	2891	7299	1930	0	1696	4325	0	5320	2030	1385	1740	0	0	1431	1669	0	0
NADPH	C21H30N7O17P3	-	ESI	13	15	10	0.2	744.0838	744.0843	0.6	S05603	14.63	14.4	14.63	0.23	4	1075	0	1982	1254	0	0	0	0	0	0	0	1624	0	0	0	0	0	0	0	0	0
Niacinamide	C6H6N2O	+	ESI	3.3	5.3	10	0.2	123.0553	123.0551	-1.4	S05612	4.6	4.4	4.67	0.27	24	58547560	45333360	41453528	46751704	38589112	26492732	2970519	1034058	1109456	48325336	52863068	80456160	10333478	7457741	10255856	1570876	1023297	1283532	896617	838394	660326
Nicotinic acid	C6H5NO2	-	ESI	5.5	7.5	10	0.2	122.0248	122.0236	-9.5	S05615	5.65	5.49	5.88	0.39	24	14063	13120	12741	18040	10255	14969	9355	13162	12581	10644	8644	13074	11147	10266	18997	7868	5207	7912	6247	7411	7546
O-Phosphoethanolamine	C2H8NO4P	+	ESI	11.4	13.4	10	0.2	142.0264	142.0261	-1.9	SQ363_ISTD_0	12.93	12.87	13.13	0.26	24	84512	61487	121788	60109	101370	64684	136380	26561	140123	75207	49244	116901	48811	21418	30284	202228	66839	50570	21784	15137	11305
Ornithine	C5H12N2O2	+	ESI	17	19	10	0.2	133.0972	133.097	-1.3	S05603	17.78	17.72	17.86	0.14	24	7675947	7693905	8672879	5347998	3820167	3950908	1998359	1186708	3976240	4911743	2446074	6022214	4157347	2372813	3031001	986488	99630	3768229	1127874	952003	343464
Orotic acid	C5H4N2O4	-	ESI	6.7	8.7	10	0.2	155.0098	155.0086	-8.1	S05603	7.61	7.38	7.85	0.47	22	46643	44348	47718	17388	7634	8312	14698	14900	9762	4517	0	0	14632	28246	27756	1911	5484	1802	5647	2214	4534
Orotidylic acid	C10H13N2O11P	+	ESI	0	30	10	0.2	369.033	369.0331	0.5	S05605	15.86	15.67	15.86	0.19	2	0	0	0	0	2807	0	0	1308	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxidized glutathione	C20H32N6O12S2	+	ESI	13.5	15.5	10	0.2	613.1592	613.158	-2	S05602	14.69	14.53	14.78	0.25	24	352571	1059197	805021	512576	406785	781173	351737	130319	108648	306636	151829	240444	621783	167803	479575	62949	26890	104016	32622	55819	28156
Oxoadipic acid	C6H8O5	-	ESI	7.5	9.5	10	0.2	159.0299	159.0289	-6.6	S05606	7.87	7.71	8.1	0.39	20	4745	4719	0	0	6432	10953	4379	3347	1925	0	3902	0	3501	3923	2833	2583	2509	2486	2616	2837	2429
Oxoglutaric acid	C5H6O5	-	ESI	10.8	14.8	10	0.2	145.0142	145.013	-8.9	S05605	12.72	12.49	12.85	0.36	24	1130738	943699	977223	1559604	1659397	1223499	461724	532096	1435516	1537070	1340154	1652704	631938	208226	618377	29234	21376	24657	22872	21317	21877
