Metabolite	Formula	Polarity (z)	Ion Mode	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S05601	S05602	S05603	S05604	S05605	S05606	S05607	S05608	S05609	S05610	S05611	S05612	S05613	S05614	S05615	SQ363_B_0	SQ363_B_1	SQ363_B_2	SQ363_B_3	SQ363_B_4	SQ363_B_5
Ureidosuccinic acid	C5H8N2O5	-	ESI	12.8	14.8	10	0.2	175.036	175.0349	-6.4	S05603	13.84	13.6	14.07	0.46	23	87135	170169	535714	138033	192895	251127	25931	5436	16818	97802	21261	142582	176688	10661	66406	1900	1220	6425	1486	870	0
Uric acid	C5H4N4O3	+	ESI	8.8	10.8	10	0.2	169.0356	169.0345	-6.7	S05612	9.89	9.7	9.89	0.18	2	0	0	0	0	0	0	0	0	0	0	6355	11104	0	0	0	0	0	0	0	0	0
Uridine	C9H12N2O6	-	ESI	5.5	7.5	10	0.2	243.0623	243.0612	-4.2	S05612	6.69	6.5	6.83	0.34	24	59264	51848	37775	56468	51946	39374	45277	33655	16970	57978	45061	65982	35432	22624	34032	22356	16475	11126	9885	7606	5949
Uridine 5'-diphosphate	C9H14N2O12P2	+	ESI	12.4	14.4	10	0.2	405.0095	405.0071	-5.8	S05601	13.52	13.46	13.77	0.31	17	10997	10452	8793	7518	9087	8797	5395	1984	1787	8590	8472	10523	5494	1834	6698	0	1274	0	0	0	0
Uridine 5'-monophosphate	C9H13N2O9P	-	ESI	11.2	13.2	10	0.2	323.0286	323.0277	-2.8	S05605	12.25	12.02	12.3	0.28	24	78123	79685	65478	86753	105892	65249	91364	63968	48069	79374	67135	66916	80375	39390	81721	43183	17060	28764	12702	15653	9904
Uridine diphosphate glucose	C15H24N2O17P2	-	ESI	12.4	14.4	10	0.2	565.0477	565.0463	-2.5	S05602	13.49	13.47	13.56	0.09	15	59039	76487	65478	50579	56299	41010	51916	29780	24878	52342	59981	56224	59953	21819	40684	0	0	0	0	0	0
Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	+	ESI	11.2	13.2	10	0.2	608.0888	608.0856	-5.4	S05602	12.3	12.16	12.36	0.2	20	223592	275279	257173	149802	157170	178739	90222	70608	46012	199738	162966	166683	120672	57227	109461	9162	0	11474	1315	2027	0
Uridine triphosphate	C9H15N2O15P3	-	ESI	15	18	10	0.2	482.9613	482.9601	-2.4	S05603	16.94	16.75	17.18	0.43	12	1667	2181	6488	1226	1048	3389	0	0	0	0	0	1283	1132	0	1474	0	0	1437	0	0	0
Valerylcarnitine	C12H23NO4	+	ESI	3.6	5.7	10	0.2	246.17	246.1688	-4.7	S05610	5.15	4.91	5.36	0.45	24	394365	457488	398544	428676	478200	457177	98541	101659	73645	482987	457821	436463	165445	119433	209505	6387	2991	2766	3472	5639	2368
Xanthine	C5H4N4O2	-	ESI	7.5	9.4	10	0.2	151.0261	151.0252	-6.3	S05601	8.46	8.23	8.6	0.37	23	121118	88031	82500	13478	15394	8222	9234	8380	5487	10753	11722	13194	8429	8824	10248	1397	1265	1264	1171	1973	0
Xanthosine	C10H12N4O6	-	ESI	6.7	8.7	10	0.2	283.0684	283.0705	7.4	SQ363_B_2	8.02	8.02	8.02	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1493	0	0	0
Xanthylic acid	C10H13N4O9P	-	ESI	11	13	10	0.2	363.0347	363.035	0.8	S05609	12.23	12.23	12.23	0	1	0	0	0	0	0	0	0	0	1415	0	0	0	0	0	0	0	0	0	0	0	0
